evento_id,ip_origen,ip_destino,puerto,duracion_segundos,bytes_transferidos,hora
7e933580-35ba-471e-8ee1-5b4ece35e572,144.97.67.7,34.112.24.55,8080,47,897928,20:08:37
17dce8cd-666a-47b1-a6f4-3fb3d9aa0cc0,204.130.106.41,187.20.47.187,8080,152,305893,01:39:03
68b54c9e-e944-4137-8d4e-c67ff0f9074e,139.145.230.200,216.1.62.166,8080,93,51195,06:30:40
6b96298c-68ef-4ff8-8d95-88dadee74fd6,63.129.129.67,10.232.119.187,443,61,878953,02:23:07
a95a0984-4a32-4fc9-ab9d-03c617de5ad4,92.87.137.241,109.115.133.70,80,13,766064,18:44:41
eca05828-f44a-4af3-b3f7-57ea12f906e8,67.172.42.79,211.207.238.16,22,87,676989,07:23:26
f4ae57b2-042d-494a-b8d1-7b1b495c9938,136.234.84.105,214.77.20.78,443,43,232023,09:52:27
b88b2aea-2d78-4caf-829b-b0e92d028d4c,80.85.75.158,59.144.186.62,443,23,166871,16:27:07
a6bf84ce-ade7-4827-a567-e5c30c2e2bc3,205.131.238.71,54.216.153.180,80,84,164069,15:44:07
79b75175-317f-4e2e-bb3b-4af4114e3ee7,219.241.163.78,62.166.9.149,8080,8,644345,11:42:19
b49ccda3-db18-48b0-a6ab-496558daeeff,67.227.251.19,64.25.70.142,3306,15,11671,03:59:42
c0216952-1c36-419d-9dac-128edbe35424,135.176.144.142,210.184.204.72,22,27,87899,19:50:00
ea815cfe-9d16-4484-975d-8cad8b395328,159.183.17.111,94.205.70.20,80,98,891675,05:16:38
fc3a76d3-5251-4924-8191-840c5af5c876,30.174.249.110,96.194.228.89,22,34,681753,13:26:08
ea8d6fd8-bf51-47be-b1a1-30071043b5d4,168.18.206.234,67.78.250.176,80,156,190846,11:30:05
5e62070c-d6eb-4c5b-b154-0ecba72550d7,49.139.139.122,154.40.146.119,3306,160,938061,04:43:19
aaad51b0-ed14-48ce-aa9c-635515c65890,195.67.66.200,188.237.45.120,80,116,576281,06:31:44
a14b6409-79ad-4891-9836-7214236a0ea9,204.120.27.157,105.25.76.69,80,2,297585,03:02:47
8571eb1f-c08a-4f53-885a-d98332c34e84,212.33.20.207,169.248.214.223,3306,3,513995,17:06:05
be74a8ee-31fd-4390-a41c-565b18f30183,63.58.21.155,45.112.122.211,8080,31,157107,03:17:54
b4341699-3eeb-40de-bc81-85beaed13817,138.67.163.64,146.192.33.45,8080,5,967367,06:35:53
9915e248-e6df-4ec2-a4c1-c4c0bdbe3f97,2.114.45.246,118.68.30.35,443,57,722828,19:46:56
eda60d9f-887e-4753-8887-f1e1b25e586b,173.178.138.5,208.78.101.78,8080,87,340753,00:24:17
9349a29a-9707-4897-9952-49c54a944e92,100.18.63.210,163.134.201.91,22,125,847879,00:57:26
f1c5e90b-968c-45eb-8dc1-b4b5ddc41efa,130.14.40.93,30.70.53.111,80,48,243733,19:55:27
fd81eaeb-c54f-4520-b16f-8ef681b18ed3,119.114.189.240,218.137.112.110,22,72,608004,22:01:08
504108db-30d6-44f9-a50f-b00ac4a2ac23,191.166.190.146,166.86.240.118,443,18,621025,05:53:43
b0edf553-cda6-426c-816f-9e75381b985e,138.246.187.102,12.35.253.118,80,72,354757,12:55:20
b574c7ff-6872-48df-beb3-b925b57ec36a,102.157.248.166,97.195.147.174,80,165,625923,21:55:47
d3592c9f-868a-488f-b1b9-4fbc629197f9,163.195.129.216,9.6.221.140,8080,2,972339,18:32:34
2ce2a6f1-4890-4db6-a922-8e5e137b1018,46.198.202.93,152.197.172.234,443,11,848677,02:56:10
760370bc-f0d2-46e7-80c7-296fc6c65712,112.126.205.201,63.116.52.216,3306,56,254808,00:30:00
fe4a46ad-d1c8-4b40-9e3a-0b2946fb4166,6.6.131.213,42.184.235.60,3306,45,697612,22:43:49
fa55f538-cfa3-4a46-893c-4d24bb33eeb0,96.158.131.95,69.218.237.69,80,14,339135,09:14:30
6cc4c6f8-3ec7-4dd7-93f2-a45d8be1b75e,21.248.85.216,104.211.242.219,22,100,291984,12:48:33
884295b8-2a3d-4c63-b169-2fb19fb14985,130.64.88.19,141.213.154.137,443,8,442975,07:36:54
033ad8de-30cc-417d-b35d-dd80078f45ec,157.106.192.249,172.182.228.120,3306,28,564216,08:08:21
5c391a65-4508-4008-acb8-a79faf85deed,55.119.228.10,166.70.235.204,80,28,658785,00:05:23
de584736-f7bb-4b7c-912c-c2d70bd8efa0,199.39.22.223,189.56.168.206,3306,33,530710,19:14:04
5ce1e352-924c-423d-a3d2-37d594b96c2f,217.201.31.189,175.112.192.31,443,6,592416,22:42:48
a0ec1641-5fa8-4a58-98fd-151242a4d52e,116.186.17.56,199.174.245.38,443,114,598055,06:22:16
f6acb032-0862-4e1f-861e-ff29a3bbc7a8,52.31.159.204,42.97.253.210,22,8,341594,02:45:18
83e0279e-49db-47de-9091-f8316991a84c,129.93.35.99,191.68.79.110,3306,5,437709,17:04:02
f57c9fb4-0cdc-4b72-9910-2bb1496455c7,215.238.209.130,15.24.54.68,443,116,327254,01:42:58
5e095a9c-7213-4df3-bc13-5560a8e51c59,221.32.46.232,130.247.139.80,8080,8,921810,02:55:27
0da248e3-45d3-490c-9eb7-e2fc3bc9bace,205.160.26.226,3.251.165.115,443,32,609617,00:39:41
28ecd1ed-5bf9-4b77-8ff4-4ccd4977cb6a,105.134.66.77,126.237.220.149,8080,54,112263,00:22:37
