cliente_id,ingreso_mensual,num_transacciones_mes,antiguedad_cuenta_anios,tipo_cuenta
b8c8a960-8235-4c92-afc1-8a75591b96ad,3596.06,19,1.9,Corriente
04cb7b38-f012-4d6e-9f53-b4487b961c44,2834.08,24,6.0,Plazo Fijo
3ecde8d4-b415-48d5-8ad3-678836de8054,3777.23,21,0.6,Corriente
a5fc09b7-c6d7-4040-bbf3-5c97e0dcd904,4827.64,27,8.8,Ahorros
b6522094-5c9b-4bd9-8ed7-2fb45c5285cc,2719.02,24,7.2,Ahorros
977c82cb-5d51-4a1a-9248-03a06d5f904d,2719.04,26,1.0,Ahorros
21837b9d-473b-4910-b63a-bc017714a9ed,4895.06,26,6.3,Corriente
dfb6eba1-a900-435f-88db-f8370f8d8512,3920.92,35,5.5,Ahorros
cf26834f-1922-4be8-b2f5-585e20037fea,2436.63,15,6.9,Corriente
9c8f1726-cf84-48a5-8682-b43bda493ebc,3651.07,21,1.0,Plazo Fijo
8b103779-dc16-4a4a-8cf4-25cf12d0c7b8,2443.9,24,0.9,Corriente
16a37dad-9858-4e92-a3a0-b771413369c3,2441.12,23,1.3,Ahorros
656f4e7e-9942-4534-81bf-9dca54667465,3290.35,25,2.3,Plazo Fijo
575b7461-b7c0-45a5-88f3-aa18cb7a096a,704.06,27,7.9,Ahorros
8cc10070-5529-4fba-8bb5-93fda0fc3581,930.1,20,6.7,Plazo Fijo
996c02f2-27dc-48b4-996d-e8158057baa3,2325.25,26,13.0,Ahorros
b8de8333-99b4-48d9-9ee1-0e699c5105db,1784.6,24,0.3,Corriente
537f30e5-a7e6-4288-904b-8821eb647bc8,3377.1,26,0.1,Ahorros
d30dcf0c-efae-4f4c-b934-dd1a0b5d6bc8,1910.37,22,6.0,Corriente
33694443-09a5-4fdb-b3e2-84eb5cfd2ac5,1305.24,17,1.6,Corriente
9fc2f8dd-5305-4797-949e-d7e833eb86ca,4758.78,29,2.0,Plazo Fijo
83578ab1-8726-4438-be5f-e2ba9bb915a3,2729.07,25,4.0,Corriente
7ea734ef-80a9-40a1-8814-0ea18b8899c1,3081.03,24,0.5,Corriente
760b39ed-1384-410d-b02e-8fb970daf131,1290.3,22,5.1,Corriente
a1b72cb0-db7f-4341-bab8-ac70e50ea4e5,2346.74,25,2.0,Plazo Fijo
f92f38f5-6238-4b3c-9487-f4799238a799,3133.11,14,5.0,Ahorros
cfc26e45-daa2-450f-b55b-6236e2d94909,1618.81,31,9.0,Ahorros
e5c1725b-e43b-4e98-a14e-34073abeb043,3450.84,20,0.9,Corriente
dd6f216b-35d2-4081-87fa-eed250908548,2279.23,23,13.4,Corriente
3c8f1aba-0576-4ee4-aa7c-2848bf6f2b05,2649.97,29,3.8,Ahorros
dee0d686-a147-4147-967b-667e9865214c,2277.95,15,12.8,Corriente
91261ab8-79b9-4128-bb5a-b84450eb6cb2,5222.73,24,1.2,Ahorros
88664810-ab2d-4ce9-a9d9-fb689329cdf2,2983.8,21,4.6,Plazo Fijo
64905e58-d534-4caf-9452-37d8e350b715,1730.75,32,2.6,Corriente
f19a928e-5f01-4764-bb9f-64104911c6c3,3987.05,29,7.4,Corriente
636faef0-a4a2-4433-aede-0dd27402d3bf,1534.99,26,4.7,Ahorros
9c4c0caa-33b3-4142-805e-7c0474c1f66e,3250.64,18,3.4,Ahorros
f305e099-1daf-43d4-98a5-af700c268530,648.4,21,12.2,Plazo Fijo
cc065121-2a55-465f-9787-036d24353a00,1406.18,28,2.4,Corriente
77ac2616-1837-463a-ad7a-6daa43f89fd2,3236.23,26,1.2,Ahorros
c63dfb04-fdb4-4f42-9c8d-c0c73ddb02d0,3886.16,15,4.7,Plazo Fijo
9610a5c9-e940-4de7-9f4c-a9b845f9d0e1,3205.64,24,4.9,Ahorros
61f6f539-85dc-4b56-9ee2-e6003727b1c2,2861.22,33,2.9,Ahorros
053b9609-7442-4971-99ed-bc598a84eb0f,2638.68,27,3.3,Plazo Fijo
f79173c0-e2d8-47ad-8ef5-e53f97feb43d,1225.77,21,16.0,Plazo Fijo
7c50f63f-005c-4cf9-a3f4-a121670e6cfb,2136.19,36,6.6,Plazo Fijo
4e61d9b0-9125-4418-b47a-778c8032e900,2447.23,30,0.6,Plazo Fijo
00bf2663-b480-42d4-b622-cdf91b6f9bbf,4268.55,25,1.2,Plazo Fijo
9b7b29cb-a305-430d-b1df-418b8c442db9,3412.34,34,18.6,Plazo Fijo
87e08e1b-b521-4014-a03c-c899768497c0,884.35,27,6.5,Corriente
be4d53ab-2816-4aed-90f5-e9ac95c4a953,3388.9,25,12.3,Plazo Fijo
ee554d4a-1d2a-4c6e-8bb2-04e1b4f1b61e,2537.9,25,1.8,Corriente
a6efe3e2-3898-4012-8d9b-f9963550a11b,2187.69,26,6.8,Ahorros
d55d3880-0cb5-4e2b-b378-a23447079b41,3734.01,27,6.3,Ahorros
7c2b5d1b-f4f9-4b33-a9a1-3b9a65439b0c,4237.2,20,1.7,Plazo Fijo
e865ef2b-0134-479a-a46b-329291b9f6f8,4117.54,36,4.0,Ahorros
