cliente_id,frecuencia_compra,monto_promedio,num_productos,edad,ciudad
2ff261eb-6219-4848-ad1e-dad0d334bf56,9,212.71,11,19,Sherrytown
d3fa6478-4582-4735-9036-add5a0a1211b,6,140.03,3,51,South Rachel
5c385803-25b0-4f3d-9d54-eae57087632c,7,159.84,15,22,Frankland
0122fb58-c2bd-4044-beb3-476090411c6a,9,121.74,18,69,Lake Kimberly
f7734fa5-40cd-41cc-b6e8-21f1661e98c5,9,79.28,2,66,South Christophermouth
b99386ae-0197-4eba-a882-b2b25f9c7e5d,9,162.85,19,64,South Kristinatown
19537ea7-2f8b-4843-ad87-c225a85ccee3,6,103.67,4,40,Valerieshire
94dc3bdc-faf2-45e2-95d0-999df567fb55,8,22.82,9,32,Frederickland
2f103910-b39e-4607-a213-5a63b6131f4a,5,151.26,1,34,Newmanstad
ae472a31-cbb3-4c27-afef-fddcac70ef11,5,136.27,2,46,East Samuelchester
81a008f2-b9b1-42d8-951d-e2836861a655,18,238.47,19,56,Lake Juliaborough
589dc00d-efe4-4546-a588-0f592cec2328,12,123.79,2,50,Lake Joseph
07953592-2367-4a75-8e91-7682299f1792,8,188.02,1,58,New Michael
0d85ae68-a276-40b5-a7f2-a6b2f639cf0b,5,160.04,11,50,Ramirezmouth
46e41736-4225-47c6-9246-eda93c54986c,15,98.09,17,31,West David
c909ce15-dc9e-46f1-9d53-8aa683cc53ed,8,181.55,4,31,South Ryanchester
3e503008-8456-46fe-b83f-f6c0a2c29df2,7,141.96,4,54,South Michaelside
fd7ce7b0-6236-4b82-9d26-1695ad7ecc3b,10,110.21,8,45,South Adam
b54f6033-a3cd-4029-b0e5-3a64ebdf32a0,11,164.33,4,48,Elizabethberg
affaabb7-eb49-42c1-a281-63f3fb1591bb,11,171.22,11,57,North Daniel
00bc9cc6-6950-4b96-8b03-1da5f400bebd,5,169.51,9,39,Newmanbury
e2f71745-c9bf-40f7-b53d-7e0b2646c93f,12,250.22,17,59,Alexandrafurt
83fd7a75-e16f-47ac-a319-550415c36c41,12,186.77,13,63,Hamiltonmouth
cf0be03a-c11b-4536-888a-fc62fac52bf4,17,135.93,16,36,Samuelland
f8c5be3c-4b95-4457-995f-82d4738c28cc,15,79.78,5,27,Brendaside
06e689cf-c80d-48fd-a3b7-3bb106656b74,6,123.52,12,22,Lake Jennifer
93b175fe-7aed-48b3-9e43-c8a85681fd0f,9,197.32,11,43,Martinezside
3678461a-7551-44ed-a806-b1ebd4ed2404,16,205.86,3,42,East Lukemouth
518b22b1-2041-4d4a-9181-1cb1449ff3a9,12,245.78,5,37,Ramosmouth
9141d8e3-cb57-4842-8a07-c1a688bd65e3,14,261.93,11,62,East Tinatown
1c3186e2-fd05-478e-a0b0-3632161a8d28,12,176.82,12,31,Lewisfort
51b81b8a-f0b9-45d6-a3b8-185b7a392993,8,177.72,3,55,Amberside
0427ebe1-35a4-4f0e-b90d-b250ae8df965,12,132.26,12,34,Kariville
55b2297e-4bdc-455f-93c5-6b7ae92a9197,9,169.93,7,38,South Nicholeburgh
1dac0ba4-2901-4630-8aac-c8a49b6ef080,9,180.79,2,59,Taylorberg
d484b517-6633-4ae4-9030-29eec73823a1,15,116.27,4,47,Chrisside
07e821d3-3f6c-4643-800d-13c22df413b8,8,67.63,5,33,Gordontown
f3a4ace0-6497-49ab-8be8-1c4e4c6edbb6,14,173.36,1,28,Grayshire
bb16c6dc-26b7-4649-932b-fe52b7a25a46,15,251.51,8,24,Lopezchester
541fff26-9dde-4cd5-8170-4175586a67ac,6,138.0,2,59,North Daniel
8bcb17bd-4e1e-4b09-9587-da0b05331601,16,197.51,15,20,Lake Vernonmouth
b88afde5-fd23-4aa8-9760-03082e7e8fe6,12,177.23,4,55,Morrisonville
ed663bd8-85ad-4f57-8351-0c59cb4e3ff2,14,221.43,5,62,Gomezhaven
baa10086-6873-4eb6-bb63-a766d22ec0a2,10,94.04,14,41,Timothyshire
639849fe-0f01-413e-8426-da843737450d,6,42.19,1,23,Edwardsshire
a71d1dea-ab51-48f8-925c-42e792e29235,11,211.15,19,21,New Tamarafort
8e7df3d3-2790-4540-b0c2-35abafc72a7a,13,230.91,11,25,North Madelinemouth
c6448f69-9827-4196-a3fb-917b3148d0b8,13,76.86,12,39,West Jamesmouth
6218d2e9-a06f-480d-ac08-31770a30abb9,10,118.99,5,61,West Rebecca
27f7d298-4763-4e1b-bebb-2367599a5bff,4,125.28,13,37,West Greg
d999f409-1f9a-4135-9433-a864f979c3d5,3,98.87,8,34,South Jamesport
2bc0be3c-54a1-41ce-91aa-3402e318b4ed,7,26.02,13,44,Port Nancy
75553033-2914-4406-9b4a-be438b79c0ba,11,103.2,19,45,Evansport
4428ba9b-4008-4103-96f4-2344f354bd3b,11,94.4,4,25,New Aprilmouth
c9ad2c0a-23e6-46d0-be75-69a42ee649c8,7,164.75,1,42,Peckmouth
ee8a7357-d0f8-4d38-89c1-752e3bf4b272,7,256.71,6,21,Vasquezchester
050a0b40-83eb-4327-a0f4-7b6f18fca138,7,239.81,15,42,Lake Jose
c5bc9a52-ad6c-4bac-808f-f9e4ff0ccb16,11,141.33,1,40,West Joshuahaven
d0e24ed9-55fa-4b7f-bbf2-1aaf366daf3d,6,128.86,16,57,New Kimburgh
42e31d71-884a-4f34-8f71-78c9ac9b27c7,4,159.15,2,67,New Zacharymouth
d8f224c8-6bf5-4b76-9c04-6e3559db6da5,11,151.27,15,20,Port Darylside
10e68d42-4701-43c0-80d4-93749f74a27f,11,126.79,19,53,New Robert
ec93856a-3682-483c-a478-9fb0f92ebe3e,10,152.06,13,31,Port Sandraview
0067db10-bad8-472c-8f26-47bd8455a665,12,236.9,2,64,Williamsbury
07f9f5c9-39c0-4442-b1d2-76fd1a0ec90f,4,105.3,14,68,Lake Meganshire
4240fad2-d26c-4446-a521-d8c4986f9726,11,120.61,1,64,Pattersonbury
10652b91-f673-4148-96ee-6c01ed0dfb3e,13,172.89,5,51,Leebury
3cde3364-adb2-470d-806b-c054e95e2eda,7,158.42,11,57,Port Taylorburgh
9e060f6b-7cdd-421f-9946-4fe3cff27f6d,8,125.28,14,21,Lucasstad
a832cad2-aa0a-49ed-9999-9e91450f84e8,12,112.37,17,25,Smithburgh
131ec602-c645-4c3b-83d7-5ca2703411e1,17,149.37,15,67,East Lauratown
62c32198-bf85-4b95-bc0d-bde87b1a3bc5,15,126.52,7,27,North Carriestad
bfca2f87-aa80-4746-ba14-a704f78ca9c5,9,53.41,17,69,Thomasshire
abc13026-1974-4d7c-9379-0aa8991a527d,11,234.68,12,63,Sotomouth
318545bd-4c70-4e4b-9c14-e2694712a105,6,116.08,1,38,Brownland
fdbdbdf8-d8ca-4a7c-a5e7-5b91bb0b7656,6,193.65,14,65,Barbaraport
7a0b75d3-da3e-4075-b614-ae162b3fb245,13,117.82,15,63,Tracyview
724ebd81-a82e-49c6-961e-b3628102087d,6,72.24,19,26,Lake Timothymouth
f2ab7dbc-f7d0-461f-b6a8-a6eddc821fc4,6,223.44,3,48,South Matthewview
72f0da1f-1b67-447a-b621-1d5136a744fa,10,119.22,3,38,Floresmouth
33a572a7-776e-4373-af8e-5b7525363795,13,171.11,2,66,New Aprilside
2c099a32-2181-48bb-86ee-2f9d1d5727e1,10,193.04,17,53,Toddmouth
ea43d019-73ec-42b2-a11e-5983b2194e46,9,181.35,2,63,South Tiffanyburgh
30d60fca-6067-4381-b67d-0b371bcccfab,8,178.09,18,49,Moralesberg
6ec3eb26-c86c-4de5-97e8-e907b2d69b7e,11,85.33,11,62,Campbellport
f264ee0a-e026-471c-976c-270f0c240ff5,13,252.74,18,40,East Brittanyview
b32509c3-fd08-4d33-8933-a0d7684f7a99,11,174.23,19,66,Roachside
4eab36a0-985f-4e8d-81df-7824746ca140,11,121.47,15,65,Wattsville
0ef584de-1619-402e-86d4-462a20396abd,8,137.74,11,36,West Nathan
d7692fa2-b3dc-488f-ba0a-8ee58729ca9e,14,151.06,5,37,East Bethbury
e8e743a9-5c58-4982-8f05-d087cb6a010f,12,75.41,10,63,Lake Kevinville
c60c5302-01b4-48f1-90a4-cd6d127eefd3,9,126.61,9,55,Lake Jonathanfort
a4e289fe-6b39-4fc9-95c9-16273bc48966,9,153.71,15,23,East Linda
a6a7a4e4-c41e-4bc1-9175-2836905651be,11,142.33,14,42,Ginamouth
005a2f17-5c42-41ff-81fd-70a13aa340c2,7,197.68,3,20,North Christophermouth
e404dbc3-9aab-4c8b-8e55-ecd3d9508a9e,8,122.75,1,65,East Julieshire
662fede6-09c1-40c2-80c7-b18d6acdec94,12,105.37,8,27,Lake Brenda
b229c45d-f2b2-4eb9-b29d-d6ee9611e9a3,10,181.12,12,29,Collinbury
366cfbba-9694-4f81-80c1-6b71d67a421e,11,113.65,7,61,Thomasmouth
87880b23-fae5-4428-8eb8-89a24a9d6ff0,10,190.28,15,55,Morrisfort
caae3a7b-28d2-4b3f-be39-1b170b0293b6,11,197.04,15,50,North Kristinaport
22939a93-4e3f-4cd2-94af-c4e4c28178dc,8,138.19,1,52,West Ashley
d23c3c57-de4b-4ddb-b2a6-64bd7ab2070b,9,118.65,9,64,East Adrienneside
70380173-9b74-470f-b575-bf4e52869087,12,161.76,16,69,Wrightfort
fba2af9a-578f-4585-b67f-2c5f9bdd9017,6,144.85,10,36,Lake Ryanberg
df941475-590b-4e27-81f2-59c4569e4109,8,102.22,12,45,Garciamouth
9bb140c4-e6e3-44ba-8170-8f8ef869a685,11,144.92,18,37,Port Noah
1c565e20-be83-4cc8-8a02-bf11a2f0e0f3,7,139.26,8,58,Jonesport
89fc58bc-fb1f-40fb-9bb1-a03ccf2394a9,7,133.87,4,64,Alvarezville
f5792145-7b20-4d24-a43f-6be90cd3e58f,12,156.36,4,41,Lake Taraport
c57392c4-9f7f-4a2e-99a8-befad5647aa0,9,265.64,9,33,Rivasberg
92f036ea-c65e-4e67-a07e-e821809c008a,7,83.2,8,56,Jasonhaven
98463d1d-a8e6-4d04-99e7-960744881d79,10,122.98,18,46,Davidview
ff4463a0-a2c5-4121-a431-a9958a39f01c,6,124.11,2,64,Millerland
99be4dc9-d9fe-443d-a1dc-b2b54d5c8b5e,10,217.68,1,56,New Jonathan
58b353ab-5823-4900-b437-1405d9174cb4,6,161.36,16,65,Lake Victoriaview
ac4c589e-278f-4e6f-bbaa-609f338db57e,7,175.38,2,32,Collierland
efaff999-183b-49dc-a04a-5fa0cb023540,13,208.89,19,52,South Melaniehaven
